h,school,wt,lambda1,lambda2,lambda3,lambda4,lambda5,tau1,tau2,tau3,tau4,tau5
11,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
12,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
13,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
14,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
15,A121,1.4705931165747024,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
16,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
17,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
18,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
19,A121,1.4705931165747024,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
20,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
21,A121,1.4705931165747024,-0.005081347279826069,-0.07468352928737049,-0.17630522729558443,-1.0119472567599044,0.005157401865678896,-0.3038770893900479,-1.5487435207411027,-2.870731141183077,5.683106282845942,-0.8806651027890461
22,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
23,A131,1.4917514717596656,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
24,A131,1.4917514717596656,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
25,A131,1.4917514717596656,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
26,A131,1.4917514717596656,-0.06044768148292628,-0.3190787153523331,0.036440144124619205,-0.2588522658922665,-0.4533240393789735,-0.38552737632438616,-1.69102949951874,3.5834254532284664,-1.5840793984321488,6.825870960792904
27,A131,1.4917514717596656,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
28,A131,1.4917514717596656,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
29,A131,1.4917514717596656,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
30,A131,1.4917514717596656,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
31,A131,1.4917514717596656,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
32,A131,1.4917514717596656,-0.005081347279826069,-0.07468352928737049,-0.17630522729558443,-1.0119472567599044,0.005157401865678896,-0.3038770893900479,-1.5487435207411027,-2.870731141183077,5.683106282845942,-0.8806651027890461
